"Public health unit","Outcome","Week start date","Week end date","Surveillance period","Surveillance week","Number","Population","Number per 100,000 population"
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),10AUG2025,16AUG2025,2024-25,33,0,337871,0
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),17AUG2025,23AUG2025,2024-25,34,0,337871,0
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),24AUG2025,30AUG2025,2025-26,35,0,349242,0
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),31AUG2025,06SEP2025,2025-26,36,0,349242,0
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),07SEP2025,13SEP2025,2025-26,37,0,349242,0
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),14SEP2025,20SEP2025,2025-26,38,0,349242,0
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),21SEP2025,27SEP2025,2025-26,39,0,349242,0
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),28SEP2025,04OCT2025,2025-26,40,0,349242,0
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),05OCT2025,11OCT2025,2025-26,41,0,349242,0
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),12OCT2025,18OCT2025,2025-26,42,1.4285714286,349242,0.4
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),19OCT2025,25OCT2025,2025-26,43,1.1428571429,349242,0.3
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),26OCT2025,01NOV2025,2025-26,44,0.1428571429,349242,0
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),02NOV2025,08NOV2025,2025-26,45,0.8571428571,349242,0.2
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),09NOV2025,15NOV2025,2025-26,46,1.1428571429,349242,0.3
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),16NOV2025,22NOV2025,2025-26,47,2.4285714286,349242,0.7
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),23NOV2025,29NOV2025,2025-26,48,7.7142857143,349242,2.2
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),30NOV2025,06DEC2025,2025-26,49,14.142857143,349242,4
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),07DEC2025,13DEC2025,2025-26,50,19.571428571,349242,5.6
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),14DEC2025,20DEC2025,2025-26,51,37.142857143,349242,10.6
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),21DEC2025,27DEC2025,2025-26,52,47.285714286,349242,13.5
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),28DEC2025,03JAN2026,2025-26,53,43.285714286,349242,12.4
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),04JAN2026,10JAN2026,2025-26,01,25,349242,7.2
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),11JAN2026,17JAN2026,2025-26,02,14.285714286,349242,4.1
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),18JAN2026,24JAN2026,2025-26,03,10.714285714,349242,3.1
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),25JAN2026,31JAN2026,2025-26,04,5.8571428571,349242,1.7
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),01FEB2026,07FEB2026,2025-26,05,4.7142857143,349242,1.3
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),08FEB2026,14FEB2026,2025-26,06,1.4285714286,349242,0.4
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),15FEB2026,21FEB2026,2025-26,07,0.7142857143,349242,0.2
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),22FEB2026,28FEB2026,2025-26,08,3.1428571429,349242,0.9
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),01MAR2026,07MAR2026,2025-26,09,2.5714285714,349242,0.7
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),08MAR2026,14MAR2026,2025-26,10,3.4285714286,349242,1
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),15MAR2026,21MAR2026,2025-26,11,1,349242,0.3
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),22MAR2026,28MAR2026,2025-26,12,0.8571428571,349242,0.2
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),29MAR2026,04APR2026,2025-26,13,1,349242,0.3
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),05APR2026,11APR2026,2025-26,14,1.5714285714,349242,0.4
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),12APR2026,18APR2026,2025-26,15,0.5714285714,349242,0.2
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),19APR2026,25APR2026,2025-26,16,1,349242,0.3
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),26APR2026,02MAY2026,2025-26,17,1.2857142857,349242,0.4
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),03MAY2026,09MAY2026,2025-26,18,1,349242,0.3
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),10MAY2026,16MAY2026,2025-26,19,1.5714285714,349242,0.4
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),17MAY2026,23MAY2026,2025-26,20,1,349242,0.3
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),24MAY2026,30MAY2026,2025-26,21,1,349242,0.3
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),20OCT2024,26OCT2024,2024-25,43,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),27OCT2024,02NOV2024,2024-25,44,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),03NOV2024,09NOV2024,2024-25,45,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),10NOV2024,16NOV2024,2024-25,46,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),17NOV2024,23NOV2024,2024-25,47,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),24NOV2024,30NOV2024,2024-25,48,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),01DEC2024,07DEC2024,2024-25,49,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),08DEC2024,14DEC2024,2024-25,50,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),15DEC2024,21DEC2024,2024-25,51,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),22DEC2024,28DEC2024,2024-25,52,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),29DEC2024,04JAN2025,2024-25,01,0.2857142857,337871,0.1
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),05JAN2025,11JAN2025,2024-25,02,0.2857142857,337871,0.1
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),12JAN2025,18JAN2025,2024-25,03,1,337871,0.3
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),19JAN2025,25JAN2025,2024-25,04,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),26JAN2025,01FEB2025,2024-25,05,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),02FEB2025,08FEB2025,2024-25,06,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),09FEB2025,15FEB2025,2024-25,07,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),16FEB2025,22FEB2025,2024-25,08,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),23FEB2025,01MAR2025,2024-25,09,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),02MAR2025,08MAR2025,2024-25,10,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),09MAR2025,15MAR2025,2024-25,11,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),16MAR2025,22MAR2025,2024-25,12,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),23MAR2025,29MAR2025,2024-25,13,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),30MAR2025,05APR2025,2024-25,14,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),06APR2025,12APR2025,2024-25,15,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),13APR2025,19APR2025,2024-25,16,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),20APR2025,26APR2025,2024-25,17,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),27APR2025,03MAY2025,2024-25,18,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),04MAY2025,10MAY2025,2024-25,19,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),11MAY2025,17MAY2025,2024-25,20,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),18MAY2025,24MAY2025,2024-25,21,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),25MAY2025,31MAY2025,2024-25,22,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),01JUN2025,07JUN2025,2024-25,23,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),08JUN2025,14JUN2025,2024-25,24,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),15JUN2025,21JUN2025,2024-25,25,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),22JUN2025,28JUN2025,2024-25,26,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),29JUN2025,05JUL2025,2024-25,27,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),06JUL2025,12JUL2025,2024-25,28,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),13JUL2025,19JUL2025,2024-25,29,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),20JUL2025,26JUL2025,2024-25,30,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),27JUL2025,02AUG2025,2024-25,31,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),03AUG2025,09AUG2025,2024-25,32,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),10AUG2025,16AUG2025,2024-25,33,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),17AUG2025,23AUG2025,2024-25,34,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),24AUG2025,30AUG2025,2025-26,35,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),31AUG2025,06SEP2025,2025-26,36,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),07SEP2025,13SEP2025,2025-26,37,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),14SEP2025,20SEP2025,2025-26,38,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),21SEP2025,27SEP2025,2025-26,39,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),28SEP2025,04OCT2025,2025-26,40,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),05OCT2025,11OCT2025,2025-26,41,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),12OCT2025,18OCT2025,2025-26,42,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),19OCT2025,25OCT2025,2025-26,43,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),26OCT2025,01NOV2025,2025-26,44,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),02NOV2025,08NOV2025,2025-26,45,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),09NOV2025,15NOV2025,2025-26,46,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),16NOV2025,22NOV2025,2025-26,47,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),23NOV2025,29NOV2025,2025-26,48,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),30NOV2025,06DEC2025,2025-26,49,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),07DEC2025,13DEC2025,2025-26,50,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),14DEC2025,20DEC2025,2025-26,51,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),21DEC2025,27DEC2025,2025-26,52,0.5714285714,349242,0.2
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),28DEC2025,03JAN2026,2025-26,53,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),04JAN2026,10JAN2026,2025-26,01,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),11JAN2026,17JAN2026,2025-26,02,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),18JAN2026,24JAN2026,2025-26,03,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),25JAN2026,31JAN2026,2025-26,04,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),01FEB2026,07FEB2026,2025-26,05,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),08FEB2026,14FEB2026,2025-26,06,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),15FEB2026,21FEB2026,2025-26,07,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),22FEB2026,28FEB2026,2025-26,08,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),01MAR2026,07MAR2026,2025-26,09,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),08MAR2026,14MAR2026,2025-26,10,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),15MAR2026,21MAR2026,2025-26,11,0.2857142857,349242,0.1
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),22MAR2026,28MAR2026,2025-26,12,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),29MAR2026,04APR2026,2025-26,13,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),05APR2026,11APR2026,2025-26,14,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),12APR2026,18APR2026,2025-26,15,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),19APR2026,25APR2026,2025-26,16,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),26APR2026,02MAY2026,2025-26,17,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),03MAY2026,09MAY2026,2025-26,18,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),10MAY2026,16MAY2026,2025-26,19,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),17MAY2026,23MAY2026,2025-26,20,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),24MAY2026,30MAY2026,2025-26,21,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,25AUG2024,31AUG2024,2024-25,35,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,01SEP2024,07SEP2024,2024-25,36,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,08SEP2024,14SEP2024,2024-25,37,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,15SEP2024,21SEP2024,2024-25,38,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,22SEP2024,28SEP2024,2024-25,39,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,29SEP2024,05OCT2024,2024-25,40,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,06OCT2024,12OCT2024,2024-25,41,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,13OCT2024,19OCT2024,2024-25,42,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,20OCT2024,26OCT2024,2024-25,43,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,27OCT2024,02NOV2024,2024-25,44,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,03NOV2024,09NOV2024,2024-25,45,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,10NOV2024,16NOV2024,2024-25,46,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,17NOV2024,23NOV2024,2024-25,47,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,24NOV2024,30NOV2024,2024-25,48,5,337871,1.5
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,01DEC2024,07DEC2024,2024-25,49,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,08DEC2024,14DEC2024,2024-25,50,1,337871,0.3
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,15DEC2024,21DEC2024,2024-25,51,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,22DEC2024,28DEC2024,2024-25,52,1,337871,0.3
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,29DEC2024,04JAN2025,2024-25,01,5,337871,1.5
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,05JAN2025,11JAN2025,2024-25,02,3,337871,0.9
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,12JAN2025,18JAN2025,2024-25,03,3,337871,0.9
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,19JAN2025,25JAN2025,2024-25,04,4,337871,1.2
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,26JAN2025,01FEB2025,2024-25,05,2,337871,0.6
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,02FEB2025,08FEB2025,2024-25,06,2,337871,0.6
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,09FEB2025,15FEB2025,2024-25,07,1,337871,0.3
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,16FEB2025,22FEB2025,2024-25,08,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,23FEB2025,01MAR2025,2024-25,09,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,02MAR2025,08MAR2025,2024-25,10,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,09MAR2025,15MAR2025,2024-25,11,1,337871,0.3
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,16MAR2025,22MAR2025,2024-25,12,1,337871,0.3
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,23MAR2025,29MAR2025,2024-25,13,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,30MAR2025,05APR2025,2024-25,14,3,337871,0.9
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,06APR2025,12APR2025,2024-25,15,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,13APR2025,19APR2025,2024-25,16,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,20APR2025,26APR2025,2024-25,17,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,27APR2025,03MAY2025,2024-25,18,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,04MAY2025,10MAY2025,2024-25,19,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,11MAY2025,17MAY2025,2024-25,20,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,18MAY2025,24MAY2025,2024-25,21,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,25MAY2025,31MAY2025,2024-25,22,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,01JUN2025,07JUN2025,2024-25,23,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,08JUN2025,14JUN2025,2024-25,24,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,15JUN2025,21JUN2025,2024-25,25,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,22JUN2025,28JUN2025,2024-25,26,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,29JUN2025,05JUL2025,2024-25,27,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,06JUL2025,12JUL2025,2024-25,28,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,13JUL2025,19JUL2025,2024-25,29,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,20JUL2025,26JUL2025,2024-25,30,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,27JUL2025,02AUG2025,2024-25,31,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,03AUG2025,09AUG2025,2024-25,32,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,10AUG2025,16AUG2025,2024-25,33,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,17AUG2025,23AUG2025,2024-25,34,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,24AUG2025,30AUG2025,2025-26,35,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,31AUG2025,06SEP2025,2025-26,36,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,07SEP2025,13SEP2025,2025-26,37,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,14SEP2025,20SEP2025,2025-26,38,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,21SEP2025,27SEP2025,2025-26,39,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,28SEP2025,04OCT2025,2025-26,40,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,05OCT2025,11OCT2025,2025-26,41,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,12OCT2025,18OCT2025,2025-26,42,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,19OCT2025,25OCT2025,2025-26,43,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,26OCT2025,01NOV2025,2025-26,44,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,02NOV2025,08NOV2025,2025-26,45,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,09NOV2025,15NOV2025,2025-26,46,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,16NOV2025,22NOV2025,2025-26,47,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,23NOV2025,29NOV2025,2025-26,48,1,349242,0.3
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,30NOV2025,06DEC2025,2025-26,49,1,349242,0.3
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,07DEC2025,13DEC2025,2025-26,50,2,349242,0.6
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,14DEC2025,20DEC2025,2025-26,51,2,349242,0.6
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,21DEC2025,27DEC2025,2025-26,52,8,349242,2.3
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,28DEC2025,03JAN2026,2025-26,53,2,349242,0.6
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,04JAN2026,10JAN2026,2025-26,01,3,349242,0.9
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,11JAN2026,17JAN2026,2025-26,02,4,349242,1.1
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,18JAN2026,24JAN2026,2025-26,03,7,349242,2
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,25JAN2026,31JAN2026,2025-26,04,3,349242,0.9
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,01FEB2026,07FEB2026,2025-26,05,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,08FEB2026,14FEB2026,2025-26,06,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,15FEB2026,21FEB2026,2025-26,07,1,349242,0.3
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,22FEB2026,28FEB2026,2025-26,08,1,349242,0.3
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,01MAR2026,07MAR2026,2025-26,09,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,08MAR2026,14MAR2026,2025-26,10,2,349242,0.6
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,15MAR2026,21MAR2026,2025-26,11,4,349242,1.1
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,22MAR2026,28MAR2026,2025-26,12,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,29MAR2026,04APR2026,2025-26,13,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,05APR2026,11APR2026,2025-26,14,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,12APR2026,18APR2026,2025-26,15,1,349242,0.3
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,19APR2026,25APR2026,2025-26,16,1,349242,0.3
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,26APR2026,02MAY2026,2025-26,17,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,03MAY2026,09MAY2026,2025-26,18,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,10MAY2026,16MAY2026,2025-26,19,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,17MAY2026,23MAY2026,2025-26,20,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,24MAY2026,30MAY2026,2025-26,21,0,349242,0
Wellington-Dufferin-Guelph Public Health,RSV hospital bed occupancy (total),25AUG2024,31AUG2024,2024-25,35,0,337871,0
Wellington-Dufferin-Guelph Public Health,RSV hospital bed occupancy (total),01SEP2024,07SEP2024,2024-25,36,0,337871,0
